,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
39,6212ac4c849717e8ab355a19,ghostguys_metaforge,Ghost Guys | By Metaforge,['launchpad'],2022-02-20T21:02:04.336Z,True,False,False,,1687.0,2022-02-20T21:02:04.336Z,,v1
151,6212ac4c849717e8ab355a19,ghostguys_metaforge,Ghost Guys | By Metaforge,['launchpad'],2022-02-20T21:02:04.336Z,True,False,False,,1687.0,2022-02-20T21:02:04.336Z,,v3
73,6212ac4c849717e8ab355a19,ghostguys_metaforge,Ghost Guys | By Metaforge,['launchpad'],2022-02-20T21:02:04.336Z,True,False,False,,1687.0,2022-02-20T21:02:04.336Z,,v2
248,6212ac4c849717e8ab355a19,ghostguys_metaforge,Ghost Guys | By Metaforge,['launchpad'],2022-02-20T21:02:04.336Z,True,False,False,,1687.0,2022-02-20T21:02:04.336Z,,v4
305,6157d87f06fcd7a36e000295,grim_syndicate,Grim Syndicate,['pfps'],2021-10-02T03:56:47.205Z,True,False,False,,0.0,2022-04-18T16:30:52.313Z,False,v4
230,621921034e8dbf1d0dfbf43e,guild_saga_heroes,Guild Saga Heroes,['launchpad'],2022-02-25T18:33:39.628Z,True,False,False,,9900.0,2022-02-25T18:33:39.628Z,,v4
2,621921034e8dbf1d0dfbf43e,guild_saga_heroes,Guild Saga Heroes,['launchpad'],2022-02-25T18:33:39.628Z,True,False,False,,9900.0,2022-02-25T18:33:39.628Z,,v1
131,621921034e8dbf1d0dfbf43e,guild_saga_heroes,Guild Saga Heroes,['launchpad'],2022-02-25T18:33:39.628Z,True,False,False,,9900.0,2022-02-25T18:33:39.628Z,,v3
50,621921034e8dbf1d0dfbf43e,guild_saga_heroes,Guild Saga Heroes,['launchpad'],2022-02-25T18:33:39.628Z,True,False,False,,9900.0,2022-02-25T18:33:39.628Z,,v2
202,620b3e0ce3d17f00125ecfdf,honey_genesis_bee,Honey Genesis Bee,"['pfps', 'art']",2022-02-17T16:09:52.310Z,True,False,False,,,2022-04-03T14:43:28.364Z,False,v3
281,620b3e0ce3d17f00125ecfdf,honey_genesis_bee,Honey Genesis Bee,"['pfps', 'art']",2022-02-17T16:09:52.310Z,True,False,False,,,2022-04-03T14:43:28.364Z,False,v4
11,620b3e0ce3d17f00125ecfdf,honey_genesis_bee,Honey Genesis Bee,"['pfps', 'art']",2022-02-17T16:09:52.310Z,True,False,False,,,,,v1
107,620b3e0ce3d17f00125ecfdf,honey_genesis_bee,Honey Genesis Bee,"['pfps', 'art']",2022-02-17T16:09:52.310Z,True,False,False,,,,False,v2
